"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
2,4,4,5,3,2,1,24,33,83
4,4,5,3,4,1,1,24,29,116
3,5,6,5,4,2,1,32,27,99
2,5,5,1,5,1,1,29,23,78
2,3,4,4,4,1,1,34,33,106
2,3,4,2,2,1,1,25,35,76
5,1,6,3,4,2,1,27,20,55
2,7,6,4,4,2,1,29,35,130
5,5,5,4,1,1,1,39,47,76
1,5,5,7,4,2,1,26,31,102
3,4,4,5,5,2,1,24,34,83
5,5,5,4,4,1,1,28,36,139
2,6,7,6,7,2,1,41,22,134
3,6,4,4,5,2,1,31,31,30
4,3,3,2,2,1,1,28,28,65
6,4,3,3,5,1,1,19,36,150
3,1,2,1,2,1,1,44,28,64
4,4,5,2,1,1,1,24,29,155
3,2,5,4,5,1,1,25,21,83
4,6,6,4,3,1,1,33,30,162
4,7,6,7,3,2,1,18,38,67
1,7,7,7,7,2,1,43,25,74
2,3,4,3,4,1,1,24,30,90
2,5,5,4,3,2,1,42,28,75
1,6,6,5,6,2,1,22,37,80
3,6,5,4,6,2,1,30,41,85
6,5,6,4,5,2,1,23,34,84
3,7,6,6,6,2,1,25,33,168
7,7,7,7,7,2,1,43,28,142
3,3,4,3,3,1,1,25,22,57
4,4,5,4,5,1,1,31,29,62
2,5,5,5,5,1,1,30,31,124
3,5,5,4,5,1,1,24,23,63
4,4,4,3,4,1,1,27,37,94
3,2,2,3,5,1,1,24,19,82
6,3,6,4,3,2,1,27,25,129
1,4,7,4,4,1,1,29,25,244
3,6,6,6,6,2,1,19,22,239
2,5,3,3,2,1,1,28,21,122
2,5,5,5,6,2,1,21,48,139
6,2,6,3,2,2,1,26,32,133
1,4,5,5,4,2,1,24,28,52
4,2,6,3,1,1,1,31,28,178
3,5,5,5,4,2,1,18,30,70
6,7,6,3,1,1,1,33,31,158
1,4,5,4,4,2,1,21,29,61
3,5,6,6,5,2,1,27,31,122
1,5,4,1,4,1,1,21,33,33
3,3,3,2,2,1,1,21,29,48
4,5,5,4,3,2,1,25,27,121
7,7,7,7,7,2,1,20,27,100
1,6,6,2,5,1,1,31,46,67
3,4,5,4,3,2,1,28,28,102
3,4,5,3,3,1,1,22,35,67
1,7,7,7,7,2,1,23,40,165
3,7,5,4,5,2,1,40,24,75
6,4,2,2,5,1,1,30,30,205
6,6,6,6,6,2,1,23,23,72
2,7,5,6,1,2,1,24,23,72
2,3,5,5,3,2,1,21,31,160
1,6,6,7,7,2,1,22,34,139
3,7,7,7,7,2,1,28,31,95
1,2,5,6,4,1,1,20,28,57
2,5,6,5,4,2,1,24,29,270
3,3,6,5,6,1,1,27,27,202
4,3,4,1,3,1,1,28,26,107
2,2,2,1,1,1,1,18,33,41
7,7,6,3,7,1,1,27,28,85
3,1,5,2,3,1,1,27,33,104
4,7,7,7,6,2,1,25,46,111
4,5,5,4,4,1,1,21,31,53
5,1,3,3,2,1,1,21,35,72
3,6,7,6,4,2,1,28,49,57
1,1,1,3,4,1,1,30,43,80
2,6,4,1,6,1,1,22,46,80
5,6,6,4,2,2,1,21,27,101
5,6,6,6,6,1,1,21,34,93
1,5,6,4,5,2,1,44,39,168
2,3,6,5,3,2,1,23,22,53
3,5,6,5,6,2,1,18,26,110
1,2,4,3,2,2,1,27,36,67
1,4,4,4,4,2,1,26,29,75
4,6,4,4,5,1,1,26,44,67
1,4,4,7,4,2,1,24,28,90
3,5,5,2,4,1,1,22,49,69
4,7,6,6,6,2,1,29,34,86
3,5,6,5,4,1,1,27,19,172
3,5,5,6,4,2,1,32,28,118
7,2,7,1,1,1,1,22,35,255
2,5,7,6,4,2,1,31,31,55
1,3,4,3,2,1,1,19,31,85
3,7,6,4,2,2,1,25,28,37
4,4,5,5,5,2,1,25,25,199
4,4,4,4,4,2,1,23,30,130
3,4,3,4,5,1,1,30,18,132
5,3,4,3,4,1,1,27,37,86
6,1,7,1,1,1,1,30,44,94
3,6,6,5,5,2,1,27,25,144
5,5,5,2,3,1,1,33,29,119
2,3,5,4,3,2,1,28,37,77
6,2,6,2,1,1,1,23,25,88
7,3,6,3,3,1,1,21,19,133
4,6,6,7,7,2,1,42,38,87
2,4,4,5,3,2,1,28,26,76
6,5,6,4,3,1,1,23,35,126
3,3,4,6,5,2,1,35,23,95
4,4,5,3,4,1,1,24,25,102
1,1,6,5,4,1,1,31,35,85
4,1,2,2,1,1,1,31,34,32
3,5,5,4,5,2,1,27,37,117
1,3,4,4,3,1,1,19,26,56
4,3,5,4,3,2,1,32,25,71
3,5,5,5,5,2,1,24,25,178
2,4,4,4,3,1,1,22,28,96
3,4,5,5,7,2,1,34,27,84
7,5,7,5,2,2,1,20,33,66
3,4,6,3,4,1,1,23,31,98
1,7,5,6,2,2,1,26,36,64
1,3,3,3,3,2,1,51,27,155
3,3,4,2,4,1,1,20,23,51
2,6,6,6,7,2,1,43,33,190
4,6,5,1,2,1,1,26,32,230
5,4,5,4,5,1,1,29,25,95
5,4,5,3,6,1,1,31,20,59
3,3,7,4,3,1,1,30,49,185
4,5,6,5,5,2,1,32,32,120
1,7,7,7,7,2,1,25,37,88
2,2,4,4,2,2,1,25,28,89
5,2,2,2,2,1,1,22,23,42
1,7,7,1,1,1,1,25,38,221
1,5,3,3,4,1,1,20,20,69
1,6,6,6,6,2,1,26,41,94
4,5,5,3,5,1,1,21,23,109
3,4,4,3,2,1,1,26,36,103
4,3,5,3,4,1,1,21,34,51
2,4,5,3,5,1,1,23,48,101
5,2,6,2,2,1,1,37,23,153
2,5,5,4,4,1,1,34,27,203
4,6,6,5,3,2,1,24,26,105
2,7,5,5,4,1,1,22,38,65
4,5,5,5,5,1,1,21,27,104
5,3,5,2,5,1,1,30,41,195
1,3,2,4,2,2,1,27,32,123
6,5,5,4,4,1,1,21,33,82
3,3,6,3,2,2,1,26,25,50
3,5,6,4,4,1,1,28,26,63
6,4,6,5,3,1,1,24,31,100
3,6,5,6,5,2,1,26,33,61
5,4,2,2,4,1,1,25,23,48
2,5,5,4,4,1,1,37,33,64
6,3,6,3,3,1,1,28,42,136
7,3,7,1,4,1,1,29,27,315
1,1,1,1,1,1,1,21,20,104
1,4,5,5,5,2,1,31,34,93
1,NA,4,3,2,1,1,23,23,77
1,1,4,1,1,1,1,22,28,55
2,6,5,6,2,2,1,29,28,150
1,3,3,3,3,1,1,39,27,217
1,5,6,4,5,2,1,26,20,265
3,4,5,4,4,1,1,24,26,206
2,4,4,4,4,1,1,22,37,111
